ticker,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions,market_cap_billions,exposure_pct_mcap
IFF.N,0.435495,0.0289,True,0.5345,0.051644,0.5323,19,18138639669.21,International Flavors & Fragrances,high,Specialty Chemicals,1257665681.9102743,1.2576656819102743,18.13863966921,6.933627354895518
JBL.N,-0.300082,0.1606,False,0.618,0.058043,1.0935,19,27570924213.7,Jabil,high,Electronic Manufacturing Services,1317251172.8615332,1.3172511728615333,27.5709242137,4.7776823245083335
KLAC.O,0.187495,0.3821,False,0.7297,0.05937,1.3271,19,189171075761.31,KLA Corporation,high,Semiconductor Materials & Equipment,5647051495.455232,5.647051495455232,189.17107576131,2.9851558821711732
LHX.N,0.457988,0.0824,False,0.4308,0.070333,0.6108,19,64064258209.0,L3Harris,high,Aerospace & Defense,4671401809.624663,4.671401809624664,64.064258209,7.291744164718052
LRCX.O,0.244329,0.4447,False,0.647,0.088732,1.6284,19,264002677110.0,Lam Research,high,Semiconductor Materials & Equipment,10269768931.576597,10.269768931576598,264.00267711,3.8900245421744604
LMT.N,0.270336,0.3458,False,0.1463,0.079202,0.3031,19,141927790749.12,Lockheed Martin,high,Aerospace & Defense,6108697926.249632,6.108697926249632,141.92779074912,4.3040886453645495
LYB.N,0.485527,0.0189,True,0.7846,0.052933,1.219,19,25918574730.1,LyondellBasell,high,Specialty Chemicals,2003557568.4073324,2.0035575684073326,25.918574730099998,7.730199632005777
MCHP.O,0.278163,0.127,False,0.8615,0.049175,1.6497,19,33550398396.0,Microchip Technology,high,Semiconductors,1485847941.6627805,1.4858479416627806,33.550398396,4.428704315594442
MU.O,0.555628,0.1672,False,0.6032,0.109278,1.6829,19,402849157698.22,Micron Technology,high,Semiconductors,35637227290.11476,35.63722729011476,402.84915769822,8.84629559454388
MPWR.O,-0.426302,0.1139,False,0.5377,0.072535,1.1494,19,51721745180.0,Monolithic Power Systems,high,Semiconductors,3510491002.3713765,3.5104910023713765,51.72174518,6.787263249053764
NTAP.O,-0.313444,0.1588,False,0.6271,0.060345,1.1592,19,20194793136.0,NetApp,high,"Technology Hardware, Storage & Peripherals",1007805429.069987,1.0078054290699872,20.194793136,4.990422146357296
NDSN.N,-0.125685,0.6417,False,0.5374,0.069382,0.9339,13,14515450035.58,Nordson Corporation,high,Industrial Machinery & Supplies & Components,290463307.5832734,0.29046330758327343,14.51545003558,2.0010630526183837
NOC.N,0.089456,0.6875,False,0.0941,0.062149,0.246,19,96364780659.0,Northrop Grumman,high,Aerospace & Defense,1372477191.7385638,1.3724771917385639,96.364780659,1.424251871225923
NUE.N,-0.11599,0.6926,False,0.721,0.081993,1.9108,19,37205172160.28,Nucor,high,Steel,687070323.8008001,0.6870703238008001,37.20517216028,1.846706476295551
NVDA.O,-0.255648,0.5094,False,0.5366,0.107789,1.7075,19,4070736000000.0,Nvidia,high,Semiconductors,165688612538.4221,165.6886125384221,4070.736,4.070237238141263
NXPI.O,0.103653,0.5738,False,0.7911,0.051367,1.3941,19,48431110672.7,NXP Semiconductors,high,Semiconductors,799251810.8811537,0.7992518108811537,48.431110672699994,1.6502859417834532
ON.O,-0.078823,0.7828,False,0.6861,0.08002,1.7095,19,22991097925.5,ON Semiconductor,high,Semiconductors,288529348.4944321,0.28852934849443207,22.9910979255,1.2549611568328671
OTIS.N,-0.256069,0.223,False,0.611,0.048376,0.8001,12,29523342709.35,Otis Worldwide,high,Industrial Machinery & Supplies & Components,1203648993.9077992,1.2036489939077992,29.523342709349997,4.076940086891331
PCAR.N,0.003318,0.9881,False,0.4923,0.0576,0.6913,13,59336149303.75,Paccar,high,Construction Machinery & Heavy Transportation Equipment,31345345.72582854,0.03134534572582854,59.33614930375,0.05282672720362651
PH.N,0.067541,0.6802,False,0.8209,0.045784,1.3789,19,112135813024.76,Parker Hannifin,high,Industrial Machinery & Supplies & Components,1205838501.465497,1.205838501465497,112.13581302476,1.075337547335786
PNR.N,0.038886,0.7563,False,0.6759,0.035049,0.7108,19,13723309776.0,Pentair,high,Industrial Machinery & Supplies & Components,84962926.38054246,0.08496292638054245,13.723309776,0.6191139584208017
PPG.N,-0.360414,0.0203,True,0.7965,0.039798,1.1645,19,23234775843.0,PPG Industries,high,Specialty Chemicals,1333268023.3295827,1.3332680233295826,23.234775843,5.738243537784161
QCOM.O,-0.379806,0.1303,False,0.5842,0.06777,1.1871,19,135626370000.0,Qualcomm,high,Semiconductors,8201311041.545085,8.201311041545084,135.62637,6.046988532941702
RTX.N,0.224721,0.3386,False,0.4781,0.064833,0.793,19,255344769276.2,RTX Corporation,high,Aerospace & Defense,9135828712.109865,9.135828712109864,255.34476927620003,3.577840555734223
ROK.N,-0.390898,0.0492,True,0.6852,0.052278,1.137,19,39493804662.0,Rockwell Automation,high,Electrical Components & Equipment,2457931333.748337,2.457931333748337,39.493804662,6.223587103810487
STX.O,0.360408,0.3844,False,0.5793,0.114674,1.7848,19,85145324656.32,Seagate Technology,high,"Technology Hardware, Storage & Peripherals",4885764752.586277,4.885764752586277,85.14532465632001,5.73814801024853
SHW.N,-0.066489,0.6965,False,0.7027,0.047636,1.0623,19,78010663688.76,Sherwin-Williams,high,Specialty Chemicals,825811825.7198378,0.8258118257198378,78.01066368875999,1.0585883860885845
SWKS.O,-0.2175,0.4073,False,0.369,0.072732,0.8239,19,8067544283.8,Skyworks Solutions,high,Semiconductors,279368826.20752466,0.2793688262075247,8.0675442838,3.4628731666030035
SNA.N,0.006179,0.9695,False,0.6571,0.045251,0.8926,19,18690668430.72,Snap-on,high,Industrial Machinery & Supplies & Components,18387401.203905325,0.018387401203905324,18.690668430720002,0.0983774404434021
SWK.N,0.230708,0.1136,False,0.6756,0.039224,0.7087,19,10686812043.78,Stanley Black & Decker,high,Industrial Machinery & Supplies & Components,392543824.42926615,0.39254382442926616,10.68681204378,3.6731611150374515
STLD.N,-0.026329,0.923,False,0.7863,0.070322,1.6524,13,24743158808.25,Steel Dynamics,high,Steel,103721032.38871641,0.10372103238871641,24.74315880825,0.4191907476022551
SMCI.O,-0.490285,0.1525,False,0.5631,0.092877,1.5586,19,13192588485.44,Supermicro,high,"Technology Hardware, Storage & Peripherals",1029807252.4036609,1.029807252403661,13.19258848544,7.805952967760706
TEL.N,-0.127457,0.188,False,0.9076,0.026372,1.209,19,59314803944.22,TE Connectivity,high,Electronic Manufacturing Services,1203660795.0735292,1.2036607950735292,59.31480394422,2.029275518141237
TDY.N,0.153182,0.4953,False,0.5918,0.062464,1.0196,19,27480508363.35,Teledyne Technologies,high,Electronic Equipment & Instruments,670208330.7213428,0.6702083307213428,27.480508363349998,2.438849827156696
TER.O,0.12583,0.6849,False,0.499,0.08664,1.1925,19,46280532511.08,Teradyne,high,Semiconductor Materials & Equipment,927171060.7287191,0.9271710607287191,46.280532511080004,2.003371634729452
TSLA.O,-0.711776,0.3172,False,0.3774,0.196161,2.2574,19,1357742464770.72,"Tesla, Inc.",high,Automobile Manufacturers,153864370791.76385,153.86437079176386,1357.74246477072,11.332367866813883
TXN.O,0.110111,0.5932,False,0.6375,0.057491,1.0519,19,173288494544.41,Texas Instruments,high,Semiconductors,3037929977.329454,3.037929977329454,173.28849454441,1.7531054126336703
TXT.N,-0.054394,0.7928,False,0.6945,0.05795,1.2615,19,15228429995.77,Textron,high,Aerospace & Defense,131881370.59359607,0.13188137059359606,15.22842999577,0.8660207955135805
TDG.N,-0.11947,0.6025,False,0.5758,0.063996,1.0912,19,64381556026.89,TransDigm Group,high,Aerospace & Defense,1224609590.7347727,1.2246095907347727,64.38155602689,1.9021124469611992
TRMB.N,-0.052089,0.8656,False,0.6657,0.079466,1.3799,13,14730534821.76,Trimble Inc.,high,Electronic Equipment & Instruments,122163610.27090369,0.1221636102709037,14.730534821760001,0.8293223005755579
VRT.N,-0.226367,0.5851,False,0.4988,0.106293,1.328,13,96058996356.48,Vertiv,high,Electrical Components & Equipment,3462011321.6706877,3.462011321670688,96.05899635648,3.6040469430088375
GWW.N,-0.289566,0.0935,False,0.7873,0.046212,1.3162,19,50031107243.95,W. W. Grainger,high,Industrial Machinery & Supplies & Components,2306561321.612044,2.306561321612044,50.03110724395,4.61025439706007
WAB.N,-0.057468,0.8019,False,0.5643,0.064104,1.0561,19,41113399680.9,Wabtec,high,Construction Machinery & Heavy Transportation Equipment,376172286.69325894,0.3761722866932589,41.1133996809,0.9149627362682362
WDC.O,0.444262,0.2969,False,0.5535,0.117244,1.6837,19,93350701443.48,Western Digital,high,"Technology Hardware, Storage & Peripherals",6602890221.391358,6.602890221391358,93.35070144347999,7.07320900570751
XYL.N,-0.149211,0.358,False,0.6566,0.044868,0.9148,19,28581272157.75,Xylem Inc.,high,Industrial Machinery & Supplies & Components,678984281.0829512,0.6789842810829512,28.58127215775,2.375626519825291
ZBRA.N,0.316638,0.3323,False,0.7466,0.08231,1.6167,13,9968206898.56,Zebra Technologies,high,Electronic Equipment & Instruments,502524686.22298336,0.5025246862229834,9.96820689856,5.04127463782456
ABT.N,0.240419,0.2747,False,0.1952,0.060492,0.2806,19,180700809627.31,Abbott Laboratories,medium,Health Care Equipment,6916815774.330694,6.916815774330694,180.70080962731,3.8277724314552986
A.N,-0.100166,0.4469,False,0.7576,0.036556,0.9453,19,31154079426.08,Agilent Technologies,medium,Life Sciences Tools & Services,496835452.1076382,0.4968354521076382,31.154079426080003,1.5947685223262367
ALGN.O,0.128555,0.5453,False,0.7121,0.0592,1.2868,19,11859921122.16,Align Technology,medium,Health Care Supplies,242743772.54160962,0.24274377254160961,11.85992112216,2.046757057161605
BAX.N,0.270706,0.1883,False,0.3111,0.056055,0.3862,19,8244552648.58,Baxter International,medium,Health Care Equipment,355338529.85005206,0.35533852985005204,8.24455264858,4.309979510061758
BDX.N,-0.021432,0.9172,False,0.0201,0.057773,0.1222,19,43995456908.59,Becton Dickinson,medium,Health Care Equipment,150123215.06516653,0.15012321506516654,43.99545690858999,0.3412243572718877
TECH.N,0.144236,0.5407,False,0.6541,0.060317,0.9664,13,7971295227.4,Bio-Techne,medium,Life Sciences Tools & Services,183054280.07975018,0.1830542800797502,7.9712952274,2.296418271531728
BSX.N,-0.059053,0.7863,False,0.1397,0.060962,0.3623,19,102798736301.39,Boston Scientific,medium,Health Care Equipment,966511587.6165309,0.9665115876165309,102.79873630139,0.9401979269306077
BR.N,-0.296127,0.1352,False,0.3065,0.053562,0.4932,19,18378582715.3,Broadridge Financial Solutions,medium,Data Processing & Outsourced Services,866497567.6698524,0.8664975676698524,18.3785827153,4.714713757271943
CRL.N,-0.081213,0.766,False,0.4639,0.07636,1.0336,19,7835096648.0,Charles River Laboratories,medium,Life Sciences Tools & Services,101308814.97164913,0.10130881497164912,7.835096648,1.2930129585256538
CSCO.O,0.060752,0.7427,False,0.4635,0.051757,0.6671,19,315675451916.64,Cisco,medium,Communications Equipment,3053364939.5308604,3.0533649395308604,315.67545191664004,0.967248140769957
DHR.N,-0.279565,0.1591,False,0.2559,0.053863,0.429,19,128461598536.88,Danaher Corporation,medium,Life Sciences Tools & Services,5717859043.524055,5.717859043524054,128.46159853688002,4.451025916420086
DXCM.O,-0.102532,0.6876,False,0.0748,0.071243,0.2987,19,23957836414.5,Dexcom,medium,Health Care Equipment,391096876.848318,0.39109687684831795,23.9578364145,1.632438213876502
EW.N,-0.176218,0.5719,False,0.3088,0.086897,0.8593,19,45742817922.62,Edwards Lifesciences,medium,Health Care Equipment,1283365933.4052274,1.2833659334052274,45.742817922620006,2.8056118789537843
FFIV.O,0.132647,0.6139,False,0.4354,0.073364,0.8726,19,15937304600.54,,,,336581025.4065064,0.3365810254065064,15.937304600540001,2.1119068364615563
HOLX.O,0.173442,0.4533,False,0.095,0.064207,0.1905,19,16892941961.35,Hologic,medium,Health Care Equipment,466484144.1464691,0.4664841441464691,16.89294196135,2.761414472468773
IDXX.O,0.011233,0.9666,False,0.4144,0.075241,0.9006,19,44344308614.48,Idexx Laboratories,medium,Health Care Equipment,79306899.3672912,0.0793068993672912,44.344308614480006,0.178843467956099
PODD.O,0.049512,0.8883,False,0.0185,0.098704,0.1731,19,14657823470.56,Insulet Corporation,medium,Health Care Equipment,115546629.20757324,0.11554662920757323,14.65782347056,0.7882932240222893
ISRG.O,-0.270113,0.2858,False,0.4942,0.06961,1.0194,19,160771112780.72,Intuitive Surgical,medium,Health Care Equipment,6914023128.205196,6.914023128205196,160.77111278072,4.300538205290285
IQV.N,-0.205467,0.3487,False,0.452,0.06056,0.8148,19,27504899645.15,IQVIA,medium,Life Sciences Tools & Services,899765772.5552685,0.8997657725552686,27.50489964515,3.271292693896181
LITE.O,-0.330415,0.3598,False,0.3893,0.099735,1.1793,19,50174922000.0,Lumentum,medium,Communications Equipment,2639512875.275545,2.6395128752755452,50.174922,5.260621780887961
MDT.N,0.11273,0.5848,False,0.4333,0.057534,0.6774,19,111877735762.96,Medtronic,medium,Health Care Equipment,2007985161.3519504,2.0079851613519506,111.87773576296,1.7948031819363521
MTD.N,-0.143745,0.4281,False,0.6366,0.050306,0.9798,19,24946968100.2,Mettler Toledo,medium,Life Sciences Tools & Services,570936545.1618929,0.5709365451618928,24.9469681002,2.2886009348659715
MSI.N,-0.024891,0.8718,False,0.5518,0.043209,0.691,19,72611614307.84,Motorola Solutions,medium,Communications Equipment,287756909.6498703,0.2877569096498703,72.61161430784,0.39629598156282925
RMD.N,0.085505,0.7656,False,0.1477,0.080246,0.445,19,32117717068.47,ResMed,medium,Health Care Equipment,437233574.25142276,0.4372335742514228,32.11771706847,1.3613469890132865
RVTY.N,-0.002084,0.9923,False,0.2596,0.060841,0.5149,19,9380299135.3,Revvity,medium,Health Care Equipment,3112373.626620137,0.003112373626620137,9.3802991353,0.03317989737563522
STE.N,0.019771,0.914,False,0.4265,0.051263,0.6253,19,21517660485.0,Steris,medium,Health Care Equipment,67733109.0237859,0.0677331090237859,21.517660485,0.3147791511581976
SYK.N,0.116584,0.4707,False,0.658,0.044906,0.8488,19,125404363802.32,Stryker Corporation,medium,Health Care Equipment,2327710282.027701,2.327710282027701,125.40436380232,1.8561637023229633
TMO.N,-0.018002,0.9401,False,0.1311,0.067158,0.377,19,175845781739.84,Thermo Fisher Scientific,medium,Life Sciences Tools & Services,503999419.13232464,0.5039994191323246,175.84578173984,0.2866144494031599
WAT.N,0.116052,0.6146,False,0.33,0.064303,0.6009,19,28367137018.36,Waters Corporation,medium,Life Sciences Tools & Services,524137773.5358865,0.5241377735358865,28.36713701836,1.8476935941637325
WST.N,-0.429551,0.1047,False,0.2703,0.071066,0.5578,19,17541059793.5,West Pharmaceutical Services,medium,Health Care Supplies,1199631572.4298506,1.1996315724298505,17.5410597935,6.83899140959764
ZBH.N,0.039536,0.8484,False,0.4828,0.05792,0.7868,19,17328897994.28,Zimmer Biomet,medium,Health Care Equipment,109078962.15372318,0.10907896215372317,17.32889799428,0.6294627747807648
ACN.N,-0.125004,0.3564,False,0.7439,0.037461,0.9378,19,118244703016.8,Accenture,control,IT Consulting & Other Services,2353330529.2811003,2.3533305292811004,118.2447030168,1.9902206773243307
ADBE.O,-0.040674,0.8749,False,0.4128,0.072345,0.8765,19,94922328000.0,Adobe Inc.,control,Application Software,614699116.5950037,0.6146991165950038,94.922328,0.6475811640386693
AFL.N,0.281246,0.143,False,0.5645,0.051954,0.7156,19,54820694537.52,Aflac,control,Life & Health Insurance,2454755329.951599,2.454755329951599,54.82069453752,4.477789547652543
ABNB.O,0.251143,0.6451,False,0.4726,0.120116,1.5155,10,74792684019.46,Airbnb,control,"Hotels, Resorts & Cruise Lines",2990594430.7854285,2.9905944307854284,74.79268401946001,3.99851198013875
ALL.N,0.066571,0.7478,False,0.1661,0.057916,0.3441,19,52610510531.82,Allstate,control,Property & Casualty Insurance,557615607.1824044,0.5576156071824044,52.61051053182,1.0598939290755336
GOOGL.O,-0.222551,0.3169,False,0.3588,0.061302,0.6771,19,3315536940000.0,Alphabet Inc. (Class A),high,Interactive Media & Services,117479136265.0385,117.47913626503849,3315.53694,3.543291430347885
GOOG.O,-0.247579,0.2694,False,0.3641,0.061574,0.6855,19,3315536940000.0,Alphabet Inc. (Class C),high,Interactive Media & Services,130690794817.1968,130.6907948171968,3315.53694,3.9417686239742755
MO.N,0.246056,0.2197,False,0.5195,0.054812,0.7052,19,111147784823.76,Altria,control,Tobacco,4354237312.652218,4.354237312652218,111.14778482375999,3.9175205511800857
AMZN.O,-0.583009,0.0254,True,0.6012,0.067299,1.1844,19,2139899126225.8,Amazon,control,Broadline Retail,198630476431.33496,198.63047643133496,2139.8991262258,9.282235503393336
AXP.N,0.101774,0.6291,False,0.6516,0.058809,1.1151,19,200433933607.82,American Express,control,Consumer Finance,3247771133.3256187,3.2477711333256187,200.43393360782,1.6203699018751911
AIG.N,0.310505,0.2653,False,0.2716,0.076539,0.5007,19,39142027415.85,American International Group,control,Multi-line Insurance,1935036843.6449745,1.9350368436449745,39.142027415849995,4.943629575154325
ACGL.N,0.211582,0.3799,False,0.1834,0.061001,0.2275,13,33283008806.22,Arch Capital Group,control,Property & Casualty Insurance,1121188466.8797822,1.1211884668797822,33.28300880622,3.368651173959525
AIZ.N,-0.118719,0.644,False,0.1041,0.071737,0.3611,19,10599966732.32,Assurant,control,Multi-line Insurance,200355863.06674334,0.20035586306674336,10.59996673232,1.8901555837514572
ADSK.O,-0.401446,0.1062,False,0.6588,0.066725,1.3724,19,48496240000.0,Autodesk,control,Application Software,3099649066.731027,3.0996490667310272,48.49624,6.391524511448779
BAC.N,0.037995,0.878,False,0.6213,0.069295,1.2561,19,335633960231.57,Bank of America,control,Diversified Banks,2030344203.6283906,2.0303442036283905,335.63396023157003,0.6049281193796833
BKNG.N,0.132213,0.6586,False,0.6871,0.076922,1.3524,13,128661565720.44,Booking Holdings,control,"Hotels, Resorts & Cruise Lines",2708322113.215495,2.708322113215495,128.66156572044,2.104997011384289
CDNS.O,-0.200431,0.4056,False,0.4628,0.066771,0.9175,19,74974677297.21,Cadence Design Systems,control,Application Software,2392526860.6190476,2.3925268606190477,74.97467729721001,3.191113248990375
COF.N,-0.040715,0.8656,False,0.5698,0.067385,1.118,19,109521013632.0,Capital One,control,Consumer Finance,709952376.9014093,0.7099523769014092,109.521013632,0.6482339355321437
CCL.N,0.447267,0.3029,False,0.6011,0.119575,1.9203,19,33562036738.4433,Carnival,control,"Hotels, Resorts & Cruise Lines",2389970215.8730774,2.3899702158730776,33.5620367384433,7.121052379802416
SCHW.N,0.061039,0.7874,False,0.5589,0.063329,0.9989,19,161834154853.0,Charles Schwab Corporation,control,Investment Banking & Brokerage,1572732704.5535173,1.5727327045535173,161.834154853,0.9718175412242793
CMG.N,-0.360086,0.1569,False,0.4603,0.06899,0.9342,19,40192773780.0,Chipotle Mexican Grill,control,Restaurants,2304260308.329676,2.304260308329676,40.19277378,5.733021365836365
CB.N,0.1641,0.3254,False,0.3692,0.046026,0.4282,19,124495054177.68,Chubb Limited,control,Property & Casualty Insurance,3252655015.4511905,3.2526550154511904,124.49505417767999,2.612678099492197
CINF.N,0.402447,0.2182,False,0.2135,0.081128,0.2138,13,23925855216.0,Cincinnati Financial,control,Property & Casualty Insurance,1533040006.6454217,1.5330400066454217,23.925855216,6.407461688643121
C.N,0.133464,0.5044,False,0.7396,0.055608,1.2939,19,187841875186.42,Citigroup,control,Diversified Banks,3991479247.7229667,3.9914792477229666,187.84187518642003,2.124914502563233
CFG.N,0.217959,0.3466,False,0.6544,0.063956,1.1757,19,24556147137.54,Citizens Financial Group,control,Regional Banks,852142757.9662042,0.8521427579662042,24.556147137540002,3.470181023078731
CTSH.N,-0.158093,0.1758,False,0.7972,0.028742,0.7146,13,28565688531.6,Cognizant,control,IT Consulting & Other Services,719009553.8294944,0.7190095538294944,28.5656885316,2.5170391150702005
STZ.N,-0.11286,0.6113,False,0.5548,0.061954,1.0126,19,26254398450.8,Constellation Brands,control,Distillers & Vintners,471758182.68962395,0.47175818268962394,26.2543984508,1.7968729452083447
DRI.N,0.004344,0.982,False,0.5623,0.054076,0.8739,19,22046842727.47,Darden Restaurants,control,Restaurants,15248023.212312618,0.015248023212312618,22.04684272747,0.06916193579642962
DDOG.O,-0.18607,0.4412,False,0.1343,0.057113,0.2727,12,40508900143.92,Datadog,control,Application Software,1200063241.3696861,1.2000632413696861,40.508900143919995,2.9624680924589466
EBAY.O,0.15705,0.4839,False,0.4734,0.062364,0.7849,19,39415040000.0,eBay Inc.,control,Broadline Retail,985546763.739886,0.985546763739886,39.41504,2.500433245126444
EPAM.N,-0.67626,0.0185,True,0.552,0.073386,1.1288,19,7319182409.11,EPAM Systems,control,IT Consulting & Other Services,788049675.9309177,0.7880496759309178,7.31918240911,10.766908540905504
EXPE.N,0.218992,0.5675,False,0.6926,0.09812,1.7302,13,27669599672.13,Expedia Group,control,"Hotels, Resorts & Cruise Lines",964735921.2418126,0.9647359212418126,27.66959967213,3.486627680463103
FICO.N,-0.089028,0.7581,False,0.3182,0.080848,0.8085,19,23984500802.04,Fair Isaac,control,Application Software,339965326.2287239,0.3399653262287239,23.98450080204,1.417437573684286
FITB.N,0.248672,0.2958,False,0.6341,0.059708,0.8647,13,40333798200.92,Fifth Third Bancorp,control,Regional Banks,1596883862.7756495,1.5968838627756496,40.33379820092,3.9591705567149518
