ticker,index_used,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions,market_cap_billions,exposure_pct_mcap
ITW.N,SMM,-0.037977,0.5572,False,0.6943,0.033903,0.9451,134,74623744807.04,Illinois Tool Works,high,Industrial Machinery & Supplies & Components,451206157.39869314,0.45120615739869313,74.62374480704,0.604641536772792
IR.N,SMM,0.068065,0.5518,False,0.6066,0.056264,1.2106,106,31114049623.3,Ingersoll Rand,high,Industrial Machinery & Supplies & Components,337176821.77205735,0.3371768217720574,31.114049623299998,1.08368028544751
INTC.O,SMM,0.069818,0.6854,False,0.2104,0.090338,0.8566,134,216556171133.64,Intel,high,Semiconductors,2407217277.831042,2.407217277831042,216.55617113364002,1.1115902471075334
IFF.N,SMM,0.101838,0.4332,False,0.3137,0.068049,0.8412,134,18138639669.21,International Flavors & Fragrances,high,Specialty Chemicals,294097883.3611832,0.2940978833611832,18.13863966921,1.6213888622552488
JBL.N,SMM,-0.027703,0.8447,False,0.3768,0.074174,1.0666,134,27570924213.7,Jabil,high,Electronic Manufacturing Services,121606125.13174082,0.12160612513174082,27.5709242137,0.44106655326162303
KLAC.O,SMM,0.094377,0.4556,False,0.4662,0.066259,1.1372,134,189171075761.31,KLA Corporation,high,Semiconductor Materials & Equipment,2842485287.5360856,2.8424852875360855,189.17107576131,1.502600371698812
LHX.N,SMM,0.406523,0.0002,True,0.3249,0.056547,0.62,134,64064258209.0,L3Harris,high,Aerospace & Defense,4146467326.3361645,4.146467326336165,64.064258209,6.47235672784806
LRCX.O,SMM,0.039,0.7952,False,0.4733,0.078777,1.3776,134,264002677110.0,Lam Research,high,Semiconductor Materials & Equipment,1639269134.3699982,1.6392691343699983,264.00267711,0.6209289815977799
LMT.N,SMM,0.256455,0.0259,True,0.1929,0.059806,0.4834,134,141927790749.12,Lockheed Martin,high,Aerospace & Defense,5795033316.599895,5.795033316599895,141.92779074912,4.083085691683555
LYB.N,SMM,0.227945,0.1163,False,0.2933,0.075738,0.8708,134,25918574730.1,LyondellBasell,high,Specialty Chemicals,940629316.0434113,0.9406293160434113,25.918574730099998,3.6291706848796395
MCHP.O,SMM,0.027435,0.8353,False,0.5444,0.069201,1.3962,134,33550398396.0,Microchip Technology,high,Semiconductors,146548025.005189,0.14654802500518901,33.550398396,0.43679965667013054
MU.O,SMM,0.37994,0.0611,False,0.354,0.105664,1.3924,134,402849157698.22,Micron Technology,high,Semiconductors,24368836949.552937,24.368836949552936,402.84915769822,6.049121981237448
MPWR.O,SMM,-0.108799,0.4734,False,0.3442,0.079498,1.0649,134,51721745180.0,Monolithic Power Systems,high,Semiconductors,895932720.3883711,0.8959327203883711,51.72174518,1.7322167248424836
NTAP.O,SMM,-0.146899,0.3121,False,0.3476,0.076051,1.0245,134,20194793136.0,NetApp,high,"Technology Hardware, Storage & Peripherals",472319169.3730045,0.4723191693730045,20.194793136,2.3388165760956996
NDSN.N,SMM,-0.068137,0.4829,False,0.5842,0.044933,0.8846,95,14515450035.58,Nordson Corporation,high,Industrial Machinery & Supplies & Components,157467465.4000199,0.1574674654000199,14.51545003558,1.0848266158750752
NOC.N,SMM,0.319582,0.0041,True,0.1663,0.057497,0.3755,134,96364780659.0,Northrop Grumman,high,Aerospace & Defense,4903181518.1786995,4.903181518178699,96.364780659,5.088146815307224
NUE.N,SMM,-0.0119,0.9385,False,0.4487,0.080866,1.3484,134,37205172160.28,Nucor,high,Steel,70490015.11535065,0.07049001511535065,37.20517216028,0.1894629456670149
NVDA.O,SMM,-0.200702,0.3358,False,0.3204,0.109136,1.3827,134,4070736000000.0,Nvidia,high,Semiconductors,130077434259.94489,130.07743425994488,4070.736,3.1954279093496822
NXPI.O,SMM,0.009612,0.9422,False,0.5017,0.069488,1.288,134,48431110672.7,NXP Semiconductors,high,Semiconductors,74116604.49952872,0.07411660449952873,48.431110672699994,0.15303511207994516
ON.O,SMM,0.146408,0.3604,False,0.537,0.083801,1.6565,134,22991097925.5,ON Semiconductor,high,Semiconductors,535922317.77999836,0.5359223177799983,22.9910979255,2.330999239429943
OTIS.N,SMM,-0.052262,0.6536,False,0.4591,0.049006,0.7942,72,29523342709.35,Otis Worldwide,high,Industrial Machinery & Supplies & Components,245656849.20708638,0.2456568492070864,29.523342709349997,0.832076677852902
PCAR.N,SMM,-0.141289,0.1743,False,0.55,0.04794,0.8756,95,59336149303.75,Paccar,high,Construction Machinery & Heavy Transportation Equipment,1334765687.8410454,1.3347656878410454,59.33614930375,2.2494983302812495
PH.N,SMM,0.094583,0.2516,False,0.7229,0.043148,1.2811,134,112135813024.76,Parker Hannifin,high,Industrial Machinery & Supplies & Components,1688630949.854327,1.688630949854327,112.13581302476,1.5058801504221235
PNR.N,SMM,-0.133347,0.152,False,0.5832,0.048622,1.0626,134,13723309776.0,Pentair,high,Industrial Machinery & Supplies & Components,291352963.6390011,0.2913529636390011,13.723309776,2.12305171561844
PPG.N,SMM,-0.168731,0.0557,False,0.5828,0.045925,1.0001,134,23234775843.0,PPG Industries,high,Specialty Chemicals,624181210.6200752,0.6241812106200753,23.234775843,2.6864094357429487
QCOM.O,SMM,-0.1264,0.4633,False,0.2827,0.090285,1.0471,134,135626370000.0,Qualcomm,high,Semiconductors,2729408476.0411863,2.7294084760411863,135.62637,2.0124467506143433
RTX.N,SMM,0.246579,0.0245,True,0.3881,0.056914,0.8003,134,255344769276.2,RTX Corporation,high,Aerospace & Defense,10024445904.046965,10.024445904046965,255.34476927620003,3.9258473680358708
ROK.N,SMM,-0.151208,0.1322,False,0.609,0.052434,1.2087,134,39493804662.0,Rockwell Automation,high,Electrical Components & Equipment,950782252.9494102,0.9507822529494102,39.493804662,2.4074212679342852
ROP.N,SMM,-0.671401,0.0083,True,0.2829,0.047985,0.2239,32,35450294716.3,Roper Technologies,high,Electronic Equipment & Instruments,3789475971.4555044,3.7894759714555044,35.4502947163,10.689547158300797
STX.O,SMM,0.456473,0.0203,True,0.3008,0.102109,1.1555,134,85145324656.32,Seagate Technology,high,"Technology Hardware, Storage & Peripherals",6188041591.494406,6.188041591494406,85.14532465632001,7.267623461971369
SHW.N,SMM,-0.131821,0.1793,False,0.5279,0.051295,1.0016,134,78010663688.76,Sherwin-Williams,high,Specialty Chemicals,1637253390.4587934,1.6372533904587934,78.01066368875999,2.0987558790564345
SWKS.O,SMM,-0.244879,0.0971,False,0.3632,0.076985,1.0646,134,8067544283.8,Skyworks Solutions,high,Semiconductors,314535902.4959652,0.3145359024959652,8.0675442838,3.8987812329405833
SNA.N,SMM,-0.037159,0.6895,False,0.4856,0.048761,0.8765,134,18690668430.72,Snap-on,high,Industrial Machinery & Supplies & Components,110577349.30181551,0.11057734930181551,18.690668430720002,0.591617949415177
SWK.N,SMM,0.069851,0.5604,False,0.5104,0.062868,1.1816,134,10686812043.78,Stanley Black & Decker,high,Industrial Machinery & Supplies & Components,118849709.07037757,0.11884970907037758,10.68681204378,1.1121156485535006
STLD.N,SMM,0.097396,0.5765,False,0.4812,0.080718,1.2886,95,24743158808.25,Steel Dynamics,high,Steel,383683910.15729505,0.383683910157295,24.74315880825,1.5506666433768554
SMCI.O,SMM,-0.292425,0.4184,False,0.1025,0.189245,1.1681,134,13192588485.44,Supermicro,high,"Technology Hardware, Storage & Peripherals",614217008.0343893,0.6142170080343893,13.19258848544,4.6557732677879695
TEL.N,SMM,0.146522,0.0556,False,0.6927,0.039864,1.0925,134,59314803944.22,TE Connectivity,high,Electronic Manufacturing Services,1383704206.2480967,1.3837042062480966,59.31480394422,2.332814262606921
TDY.N,SMM,0.173794,0.0773,False,0.468,0.051274,0.8686,134,27480508363.35,Teledyne Technologies,high,Electronic Equipment & Instruments,760390820.2620741,0.7603908202620742,27.480508363349998,2.7670187545590914
TER.O,SMM,0.131437,0.4425,False,0.4051,0.089632,1.3562,134,46280532511.08,Teradyne,high,Semiconductor Materials & Equipment,968485915.1951097,0.9684859151951097,46.280532511080004,2.092642116776087
TSLA.O,SMM,-0.045646,0.8815,False,0.1752,0.160558,1.3687,134,1357742464770.72,"Tesla, Inc.",high,Automobile Manufacturers,9867279971.73388,9.867279971733879,1357.74246477072,0.726741648564417
TXN.O,SMM,0.004874,0.9601,False,0.4881,0.051026,0.9205,134,173288494544.41,Texas Instruments,high,Semiconductors,134472220.84536296,0.13447222084536295,173.28849454441,0.07760020144378409
TXT.N,SMM,0.2382,0.0173,True,0.6029,0.051882,1.1535,134,15228429995.77,Textron,high,Aerospace & Defense,577529552.4395077,0.5775295524395078,15.22842999577,3.792443164527979
TDG.N,SMM,-0.034745,0.7741,False,0.4341,0.063461,1.0281,134,64381556026.89,TransDigm Group,high,Aerospace & Defense,356148491.0862951,0.35614849108629515,64.38155602689,0.5531840375798682
TRMB.N,SMM,0.095773,0.4507,False,0.6146,0.058741,1.2294,95,14730534821.76,Trimble Inc.,high,Electronic Equipment & Instruments,224615090.45048395,0.22461509045048395,14.730534821760001,1.524826444988825
VRT.N,SMM,-0.167755,0.5599,False,0.2367,0.131361,1.1967,92,96058996356.48,Vertiv,high,Electrical Components & Equipment,2565611194.506559,2.565611194506559,96.05899635648,2.670870289947066
GWW.N,SMM,-0.030426,0.7883,False,0.3904,0.059418,0.8795,134,50031107243.95,W. W. Grainger,high,Industrial Machinery & Supplies & Components,242360756.34352118,0.24236075634352117,50.03110724395,0.48442013318189875
WAB.N,SMM,-0.00115,0.9919,False,0.5111,0.059544,1.125,134,41113399680.9,Wabtec,high,Construction Machinery & Heavy Transportation Equipment,7527635.026401612,0.007527635026401612,41.1133996809,0.018309444329165304
WDC.O,SMM,0.336129,0.1077,False,0.3618,0.109027,1.475,134,93350701443.48,Western Digital,high,"Technology Hardware, Storage & Peripherals",4995752252.558301,4.995752252558301,93.35070144347999,5.351595837320005
XYL.N,SMM,-0.101818,0.2711,False,0.498,0.048404,0.8911,134,28581272157.75,Xylem Inc.,high,Industrial Machinery & Supplies & Components,463322553.50680524,0.46332255350680523,28.58127215775,1.621070437136481
ZBRA.N,SMM,0.07675,0.6388,False,0.5615,0.075706,1.4216,95,9968206898.56,Zebra Technologies,high,Electronic Equipment & Instruments,121807141.49158968,0.12180714149158968,9.96820689856,1.2219563932725541
ABT.N,SMM,-0.011588,0.9024,False,0.3212,0.04953,0.6299,134,180700809627.31,Abbott Laboratories,medium,Health Care Equipment,333384887.18838394,0.33338488718838394,180.70080962731,0.18449551381423265
A.N,SMM,-0.146267,0.1215,False,0.5562,0.049303,1.0185,134,31154079426.08,Agilent Technologies,medium,Life Sciences Tools & Services,725501977.4517093,0.7255019774517093,31.154079426080003,2.3287543423426276
ALGN.O,SMM,-0.166086,0.4005,False,0.4168,0.103437,1.6166,134,11859921122.16,Align Technology,medium,Health Care Supplies,313611623.09008425,0.3136116230900843,11.85992112216,2.644297713785869
BAX.N,SMM,-0.035741,0.7913,False,0.1669,0.070816,0.5863,134,8244552648.58,Baxter International,medium,Health Care Equipment,46914935.00465713,0.04691493500465713,8.24455264858,0.5690416084945193
BDX.N,SMM,0.008854,0.9305,False,0.1802,0.053236,0.4607,134,43995456908.59,Becton Dickinson,medium,Health Care Equipment,62018987.78401383,0.06201898778401383,43.99545690858999,0.14096680007863446
TECH.N,SMM,0.00116,0.9942,False,0.4619,0.073282,1.1287,95,7971295227.4,Bio-Techne,medium,Life Sciences Tools & Services,1472191.1651218159,0.0014721911651218158,7.9712952274,0.018468656888549352
BSX.N,SMM,-0.172916,0.0901,False,0.2869,0.053198,0.6135,134,102798736301.39,Boston Scientific,medium,Health Care Equipment,2830090218.6899905,2.8300902186899903,102.79873630139,2.7530398918451717
BR.N,SMM,-0.130498,0.1785,False,0.3887,0.050687,0.7441,134,18378582715.3,Broadridge Financial Solutions,medium,Data Processing & Outsourced Services,381850353.34765285,0.3818503533476528,18.3785827153,2.077692057449925
CRL.N,SMM,-0.09464,0.4882,False,0.443,0.071519,1.1799,134,7835096648.0,Charles River Laboratories,medium,Life Sciences Tools & Services,118058269.59867108,0.11805826959867108,7.835096648,1.5067876620106126
CSCO.O,SMM,0.075205,0.4532,False,0.3585,0.052513,0.7192,134,315675451916.64,Cisco,medium,Communications Equipment,3779765444.3873177,3.779765444387318,315.67545191664004,1.1973580528477188
COO.N,SMM,0.203659,0.5417,False,0.3335,0.064788,0.9618,30,13613131548.46,Cooper Companies (The),medium,Health Care Supplies,441406751.9760158,0.4414067519760158,13.613131548459998,3.242507063159545
DHR.N,SMM,-0.172651,0.0587,False,0.3941,0.047568,0.7011,134,128461598536.88,Danaher Corporation,medium,Life Sciences Tools & Services,3531179087.9526105,3.5311790879526104,128.46159853688002,2.748820759021495
DXCM.O,SMM,-0.407845,0.1118,False,0.1207,0.133833,0.8662,134,23957836414.5,Dexcom,medium,Health Care Equipment,1555679258.5553994,1.5556792585553993,23.9578364145,6.493404628198629
EW.N,SMM,-0.191908,0.1994,False,0.2101,0.078167,0.7352,134,45742817922.62,Edwards Lifesciences,medium,Health Care Equipment,1397633553.5979888,1.397633553597989,45.742817922620006,3.0554163846273528
FFIV.O,SMM,0.075769,0.5447,False,0.3065,0.065548,0.7994,134,15937304600.54,,,,192257704.3885319,0.1922577043885319,15.937304600540001,1.2063376411969793
GEHC.N,SMM,-0.10961,0.7062,False,0.3856,0.068091,1.097,39,31588966599.89,GE HealthCare,medium,Health Care Equipment,551268173.7871604,0.5512681737871604,31.58896659989,1.7451288634085298
HOLX.O,SMM,-0.208968,0.0814,False,0.3161,0.062512,0.7742,134,16892941961.35,Hologic,medium,Health Care Equipment,562033755.5724642,0.5620337555724643,16.89294196135,3.327033010936535
IDXX.O,SMM,-0.103837,0.4486,False,0.3762,0.071767,1.0306,134,44344308614.48,Idexx Laboratories,medium,Health Care Equipment,733106962.4856598,0.7331069624856599,44.344308614480006,1.6532154528761198
PODD.O,SMM,-0.023952,0.9048,False,0.18,0.105021,0.91,134,14657823470.56,Insulet Corporation,medium,Health Care Equipment,55897012.0936297,0.055897012093629704,14.65782347056,0.3813459222366673
ISRG.O,SMM,-0.340388,0.0065,True,0.4141,0.064633,0.9764,134,160771112780.72,Intuitive Surgical,medium,Health Care Equipment,8712836866.657698,8.712836866657698,160.77111278072,5.41940446636167
IQV.N,SMM,-0.160279,0.1852,False,0.4751,0.063221,1.11,134,27504899645.15,IQVIA,medium,Life Sciences Tools & Services,701881850.9025093,0.7018818509025093,27.50489964515,2.551842980551553
LITE.O,SMM,-0.030793,0.9169,False,0.1447,0.150692,1.1298,128,50174922000.0,Lumentum,medium,Communications Equipment,245989195.31001878,0.24598919531001878,50.174922,0.49026323411129324
MDT.N,SMM,0.01787,0.8535,False,0.2951,0.050755,0.6058,134,111877735762.96,Medtronic,medium,Health Care Equipment,318306527.3960734,0.3183065273960734,111.87773576296,0.28451284361929047
MTD.N,SMM,-0.140787,0.1808,False,0.4941,0.054973,1.0029,134,24946968100.2,Mettler Toledo,medium,Life Sciences Tools & Services,559187751.8084623,0.5591877518084623,24.9469681002,2.2415058598001707
MSI.N,SMM,0.001721,0.9874,False,0.2883,0.056911,0.6692,134,72611614307.84,Motorola Solutions,medium,Communications Equipment,19895931.923483457,0.01989593192348346,72.61161430784,0.027400481469994343
RMD.N,SMM,0.019844,0.8846,False,0.1531,0.071717,0.5623,134,32117717068.47,ResMed,medium,Health Care Equipment,101473165.86685261,0.10147316586685261,32.11771706847,0.31594140284170114
RVTY.N,SMM,-0.066336,0.5821,False,0.4127,0.063172,0.9797,134,9380299135.3,Revvity,medium,Health Care Equipment,99070257.62738648,0.09907025762738648,9.3802991353,1.0561524339300086
STE.N,SMM,0.069795,0.4905,False,0.3389,0.053023,0.6959,134,21517660485.0,Steris,medium,Health Care Equipment,239109420.0756227,0.23910942007562272,21.517660485,1.1112240582209498
SYK.N,SMM,-0.047644,0.5862,False,0.4243,0.045863,0.7285,134,125404363802.32,Stryker Corporation,medium,Health Care Equipment,951257708.4070524,0.9512577084070524,125.40436380232,0.7585523179293494
TMO.N,SMM,-0.157248,0.13,False,0.3456,0.054225,0.7226,134,175845781739.84,Thermo Fisher Scientific,medium,Life Sciences Tools & Services,4402449764.455049,4.402449764455048,175.84578173984,2.5035856538022485
WAT.N,SMM,-0.141526,0.2657,False,0.3467,0.066519,0.8935,134,28367137018.36,Waters Corporation,medium,Life Sciences Tools & Services,639188661.440043,0.6391886614400429,28.36713701836,2.2532716679386513
WST.N,SMM,-0.344824,0.011,True,0.3165,0.070227,0.8482,134,17541059793.5,West Pharmaceutical Services,medium,Health Care Supplies,963009648.0547149,0.9630096480547149,17.5410597935,5.490031157704433
ZBH.N,SMM,-0.062174,0.5781,False,0.3748,0.058585,0.8392,134,17328897994.28,Zimmer Biomet,medium,Health Care Equipment,171536710.66738123,0.17153671066738121,17.32889799428,0.9898881667143684
ACN.N,SMM,-0.175914,0.0622,False,0.4845,0.049137,0.8751,134,118244703016.8,Accenture,control,IT Consulting & Other Services,3311764317.365487,3.311764317365487,118.2447030168,2.8007718171485085
ADBE.O,SMM,-0.179353,0.1802,False,0.3355,0.069928,0.9132,134,94922328000.0,Adobe Inc.,control,Application Software,2710530822.113972,2.7105308221139723,94.922328,2.855525016320683
AFL.N,SMM,0.21068,0.0195,True,0.3946,0.046783,0.6655,134,54820694537.52,Aflac,control,Life & Health Insurance,1838845185.048687,1.8388451850486869,54.82069453752,3.354290201103084
ABNB.O,SMM,0.099523,0.6909,False,0.2251,0.097919,0.9678,63,74792684019.46,Airbnb,control,"Hotels, Resorts & Cruise Lines",1185113379.7679338,1.1851133797679338,74.79268401946001,1.5845311547578425
ALL.N,SMM,0.027446,0.7913,False,0.1574,0.054383,0.4325,134,52610510531.82,Allstate,control,Property & Casualty Insurance,229894668.16974762,0.22989466816974763,52.61051053182,0.436974790485453
GOOGL.O,SMM,-0.17672,0.1151,False,0.3621,0.058527,0.8085,134,3315536940000.0,Alphabet Inc. (Class A),high,Interactive Media & Services,93286091550.95956,93.28609155095957,3315.53694,2.813604349434863
GOOG.O,SMM,-0.179942,0.1075,False,0.3618,0.058336,0.805,134,3315536940000.0,Alphabet Inc. (Class C),high,Interactive Media & Services,94986905193.88167,94.98690519388167,3315.53694,2.864902636068403
MO.N,SMM,0.111145,0.3458,False,0.1206,0.061713,0.4067,134,111147784823.76,Altria,control,Tobacco,1966835623.251336,1.9668356232513362,111.14778482375999,1.7695679912739806
AMZN.O,SMM,-0.376281,0.0049,True,0.3799,0.069106,0.9634,134,2139899126225.8,Amazon,control,Broadline Retail,128198491450.49072,128.19849145049074,2139.8991262258,5.990866105758825
AXP.N,SMM,0.078374,0.423,False,0.5235,0.051227,0.9864,134,200433933607.82,American Express,control,Consumer Finance,2501039703.6891747,2.5010397036891745,200.43393360782,1.2478125129165232
AIG.N,SMM,0.194893,0.1266,False,0.3532,0.066601,0.8858,134,39142027415.85,American International Group,control,Multi-line Insurance,1214554147.4968197,1.2145541474968198,39.142027415849995,3.1029413336034906
APP.O,SMM,-0.50836,0.4249,False,0.1752,0.217929,1.7243,59,128570373600.0,AppLovin,control,Application Software,10406138473.411106,10.406138473411106,128.5703736,8.09372966884737
ACGL.N,SMM,0.296261,0.1585,False,0.129,0.096819,0.5675,95,33283008806.22,Arch Capital Group,control,Property & Casualty Insurance,1569908670.805036,1.569908670805036,33.28300880622,4.716847205567689
AIZ.N,SMM,-0.083931,0.4428,False,0.154,0.05728,0.4495,134,10599966732.32,Assurant,control,Multi-line Insurance,141645970.2579607,0.14164597025796072,10.59996673232,1.3362869321662376
ADSK.O,SMM,-0.207068,0.1264,False,0.478,0.07072,1.247,134,48496240000.0,Autodesk,control,Application Software,1598815613.9302928,1.598815613930293,48.49624,3.2967826246535665
BAC.N,SMM,0.031207,0.7617,False,0.5728,0.053946,1.1524,134,335633960231.57,Bank of America,control,Diversified Banks,1667612884.9225209,1.667612884922521,335.63396023157003,0.49685463406979274
BKNG.N,SMM,-0.018063,0.9018,False,0.4171,0.067846,0.9543,95,128661565720.44,Booking Holdings,control,"Hotels, Resorts & Cruise Lines",370012194.95065904,0.370012194950659,128.66156572044,0.2875856460154025
CDNS.O,SMM,-0.26031,0.0311,True,0.3303,0.062758,0.7952,134,74974677297.21,Cadence Design Systems,control,Application Software,3107297110.166312,3.107297110166312,74.97467729721001,4.144462133326105
COF.N,SMM,0.029918,0.8071,False,0.504,0.064232,1.1948,134,109521013632.0,Capital One,control,Consumer Finance,521683782.6878636,0.5216837826878636,109.521013632,0.47633213516518924
CCL.N,SMM,0.103572,0.6259,False,0.4716,0.111352,1.9374,134,33562036738.4433,Carnival,control,"Hotels, Resorts & Cruise Lines",553436750.7515788,0.5534367507515788,33.5620367384433,1.6489963200524427
SCHW.N,SMM,0.121576,0.3737,False,0.3407,0.071547,0.9393,134,161834154853.0,Charles Schwab Corporation,control,Investment Banking & Brokerage,3132530862.0521045,3.1325308620521044,161.834154853,1.9356426119674794
CMG.N,SMM,-0.364203,0.0315,True,0.2315,0.088026,0.8533,134,40192773780.0,Chipotle Mexican Grill,control,Restaurants,2330605791.6014314,2.3306057916014313,40.19277378,5.798569176534777
CB.N,SMM,0.206919,0.026,True,0.2758,0.048282,0.5127,134,124495054177.68,Chubb Limited,control,Property & Casualty Insurance,4101377959.4280615,4.101377959428062,124.49505417767999,3.294410357518744
CINF.N,SMM,0.132451,0.3653,False,0.1822,0.067625,0.5179,95,23925855216.0,Cincinnati Financial,control,Property & Casualty Insurance,504545149.8462973,0.5045451498462973,23.925855216,2.10878627029763
